Player;Team;Pos;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
Anthony Davis;LAL;PF;7;7;36.3;11.4;20.0;.571;0.3;1.7;.167;11.1;18.3;.609;.579;9.4;12.0;.786;2.1;9.4;11.6;3.0;1.6;1.7;2.4;1.1;32.6
Giannis Antetokounmpo;MIL;PF;6;6;35.2;12.7;20.0;.633;0.0;0.5;.000;12.7;19.5;.650;.633;5.7;10.7;.531;1.8;10.5;12.3;6.3;0.5;0.5;3.0;3.5;31.0
Tyrese Maxey;PHI;PG;6;6;41.0;10.3;25.3;.408;3.5;11.8;.296;6.8;13.5;.506;.477;6.0;7.3;.818;0.0;3.3;3.3;4.3;1.5;0.7;1.8;2.8;30.2
Jayson Tatum;BOS;SF;8;8;34.6;9.6;20.0;.481;4.1;11.6;.355;5.5;8.4;.657;.584;6.6;8.5;.779;0.6;6.8;7.4;5.1;1.9;0.5;2.5;2.4;30.0
Nikola Joki?;DEN;C;7;7;37.7;10.7;19.7;.543;2.4;4.6;.531;8.3;15.1;.547;.605;5.7;7.0;.816;4.0;8.6;12.6;10.3;1.4;1.1;3.9;2.0;29.6
Paolo Banchero;ORL;SF;5;5;36.4;9.6;19.4;.495;2.2;6.4;.344;7.4;13.0;.569;.552;7.6;11.8;.644;2.4;6.4;8.8;5.6;0.6;0.8;2.2;2.6;29.0
Luka Don?i?;DAL;PG;7;7;37.3;9.7;24.3;.400;3.3;10.1;.324;6.4;14.1;.455;.468;6.1;8.0;.768;0.6;7.7;8.3;7.4;1.0;0.4;2.6;3.6;28.9
LaMelo Ball;CHO;PG;7;7;32.6;9.9;21.1;.466;4.6;11.7;.390;5.3;9.4;.561;.574;4.3;5.0;.857;0.9;3.7;4.6;5.7;1.4;0.3;5.4;4.7;28.6
Damian Lillard;MIL;PG;7;7;35.9;8.1;18.0;.452;3.9;9.9;.391;4.3;8.1;.526;.560;7.4;8.3;.897;1.0;3.6;4.6;6.7;0.4;0.3;3.3;2.0;27.6
Anthony Edwards;MIN;SG;7;7;37.1;9.4;20.1;.468;5.1;11.4;.450;4.3;8.7;.492;.596;3.3;5.1;.639;0.1;5.4;5.6;3.0;0.9;0.4;3.1;1.9;27.3
Kevin Durant;PHO;SF;7;7;39.3;9.7;17.7;.548;2.4;5.6;.436;7.3;12.1;.600;.617;5.3;6.4;.822;0.1;6.4;6.6;3.4;0.7;1.4;3.3;1.9;27.1
RJ Barrett;TOR;SG;5;5;33.2;9.6;21.6;.444;2.8;7.4;.378;6.8;14.2;.479;.509;4.2;6.0;.700;1.2;4.6;5.8;7.8;0.8;0.0;3.2;3.2;26.2
Jalen Brunson;NYK;PG;6;6;33.5;9.3;20.2;.463;2.5;5.0;.500;6.8;15.2;.451;.525;4.8;5.8;.829;0.5;2.0;2.5;6.0;0.5;0.0;1.7;1.7;26.0
Jaylen Brown;BOS;SF;6;6;36.0;8.7;21.7;.400;2.0;7.5;.267;6.7;14.2;.471;.446;6.3;7.8;.809;1.7;5.5;7.2;3.8;1.5;0.5;2.2;2.5;25.7
Shai Gilgeous-Alexander;OKC;SG;7;7;32.0;9.3;19.6;.474;1.9;6.6;.283;7.4;13.0;.571;.522;5.3;5.7;.925;1.0;5.6;6.6;6.9;1.7;1.0;2.1;2.0;25.7
DeMar DeRozan;SAC;SG;7;7;37.9;9.0;17.0;.529;0.9;2.4;.353;8.1;14.6;.559;.555;6.6;7.6;.868;0.7;3.6;4.3;4.0;2.0;0.6;2.0;1.6;25.4
Norman Powell;LAC;SG;7;7;33.1;9.0;17.7;.508;3.9;8.6;.450;5.1;9.1;.563;.617;3.0;3.6;.840;0.3;2.3;2.6;1.9;1.1;0.3;1.7;1.3;24.9
Cam Thomas;BRK;SG;8;8;34.0;8.3;19.5;.423;2.4;7.8;.306;5.9;11.8;.500;.484;6.0;6.5;.923;0.5;2.6;3.1;3.1;1.0;0.0;2.5;2.0;24.9
Devin Booker;PHO;SG;7;7;36.6;7.4;17.7;.419;2.9;8.0;.357;4.6;9.7;.471;.500;7.0;7.9;.891;1.3;2.7;4.0;5.7;1.1;0.4;2.0;2.3;24.7
Brandon Ingram;NOP;SF;8;8;32.5;9.8;19.5;.500;2.5;6.6;.377;7.3;12.9;.563;.564;2.6;3.0;.875;1.3;5.0;6.3;4.5;0.9;0.6;3.0;2.9;24.6
De'Aaron Fox;SAC;PG;7;7;37.4;8.9;18.3;.484;2.0;6.7;.298;6.9;11.6;.593;.539;4.4;5.1;.861;1.1;4.1;5.3;5.6;2.1;0.0;4.1;3.1;24.1
Kyrie Irving;DAL;PG;7;7;36.0;8.9;18.3;.484;3.3;5.9;.561;5.6;12.4;.448;.574;2.9;3.3;.870;1.6;2.7;4.3;5.0;1.3;0.3;1.7;2.4;23.9
Trae Young;ATL;PG;8;8;36.0;7.0;17.9;.392;2.9;9.4;.307;4.1;8.5;.485;.472;7.0;7.8;.903;1.0;3.4;4.4;11.0;1.3;0.3;4.9;1.9;23.9
Cade Cunningham;DET;PG;8;8;35.9;9.1;18.9;.483;2.3;6.0;.375;6.9;12.9;.534;.543;2.8;3.6;.759;0.9;5.5;6.4;7.4;0.6;0.9;4.9;2.4;23.3
Donovan Mitchell;CLE;SG;8;8;29.8;8.8;18.1;.483;3.1;7.8;.403;5.6;10.4;.542;.569;2.5;3.3;.769;0.6;2.3;2.9;4.3;1.5;0.1;2.6;2.3;23.1
Jalen Green;HOU;SG;7;7;34.1;7.7;19.6;.394;3.6;9.6;.373;4.1;10.0;.414;.485;3.9;4.6;.844;0.4;4.1;4.6;3.0;0.9;0.4;2.4;2.1;22.9
Zach LaVine;CHI;SG;6;6;34.7;7.7;15.5;.495;3.7;8.0;.458;4.0;7.5;.533;.613;3.7;4.5;.815;0.3;5.2;5.5;2.7;0.8;0.5;3.7;1.3;22.7
Jordan Poole;WAS;SG;6;6;31.0;7.3;16.3;.449;4.0;8.8;.453;3.3;7.5;.444;.571;3.8;4.2;.920;0.3;0.8;1.2;5.0;2.8;1.2;3.0;3.2;22.5
Buddy Hield;GSW;SG;7;1;25.7;7.7;15.0;.514;4.7;9.4;.500;3.0;5.6;.538;.671;1.7;2.0;.857;0.7;3.6;4.3;2.4;1.1;0.6;1.1;1.9;21.9
LeBron James;LAL;SF;7;7;34.9;7.7;15.9;.486;2.3;5.1;.444;5.4;10.7;.507;.559;4.1;5.3;.784;0.3;6.6;6.9;7.7;0.6;0.4;2.6;1.7;21.9
Tyler Herro;MIA;SG;6;6;30.5;7.5;15.5;.484;3.8;8.7;.442;3.7;6.8;.537;.608;3.0;3.8;.783;0.2;5.0;5.2;4.2;0.5;0.3;2.2;2.3;21.8
Nikola Vu?evi?;CHI;C;7;7;33.3;8.1;14.9;.548;2.3;4.7;.485;5.9;10.1;.577;.625;3.1;3.3;.957;2.7;8.1;10.9;3.7;0.4;1.0;1.4;2.4;21.7
Gradey Dick;TOR;SG;8;8;32.5;7.8;16.4;.473;2.9;7.5;.383;4.9;8.9;.549;.561;3.3;3.5;.929;0.6;2.0;2.6;2.3;1.4;0.6;1.8;2.3;21.6
Julius Randle;MIN;PF;7;7;33.1;7.7;13.4;.574;1.9;4.0;.464;5.9;9.4;.621;.644;4.1;5.4;.763;1.9;4.6;6.4;4.7;0.7;0.0;2.7;2.7;21.4
Zion Williamson;NOP;PF;5;5;31.4;7.6;17.2;.442;0.4;1.2;.333;7.2;16.0;.450;.453;5.8;9.4;.617;2.8;5.2;8.0;5.6;0.6;1.2;3.6;3.0;21.4
Karl-Anthony Towns;NYK;C;6;6;31.2;7.7;14.7;.523;1.8;3.2;.579;5.8;11.5;.507;.585;4.2;4.7;.893;3.3;9.2;12.5;2.5;0.7;0.7;1.5;3.2;21.3
James Harden;LAC;SG;7;7;35.1;6.4;16.9;.381;2.6;8.7;.295;3.9;8.1;.474;.458;5.7;6.9;.833;0.9;7.9;8.7;9.9;1.6;1.3;5.0;2.6;21.1
Ja Morant;MEM;PG;7;7;28.3;7.0;15.4;.454;0.9;4.0;.214;6.1;11.4;.538;.481;5.9;7.0;.837;0.6;4.6;5.1;9.7;0.6;0.1;4.1;1.7;20.7
Domantas Sabonis;SAC;C;7;7;37.0;7.4;12.3;.605;1.1;2.3;.500;6.3;10.0;.629;.651;4.7;5.7;.825;3.1;10.3;13.4;6.4;0.6;0.3;3.0;4.1;20.7
Coby White;CHI;PG;7;7;33.9;7.0;15.4;.454;3.9;9.3;.415;3.1;6.1;.512;.579;2.7;3.4;.792;0.3;4.0;4.3;4.6;1.3;0.1;2.6;2.4;20.6
Darius Garland;CLE;PG;8;8;28.9;7.8;14.8;.525;3.3;7.3;.448;4.5;7.5;.600;.636;1.8;1.8;1.000;0.6;1.4;2.0;6.5;1.0;0.4;2.4;3.0;20.5
Pascal Siakam;IND;PF;7;7;33.4;8.3;14.9;.558;2.0;4.4;.452;6.3;10.4;.603;.625;1.7;2.6;.667;2.0;5.0;7.0;5.1;0.7;0.3;1.4;2.4;20.3
Dennis Schröder;BRK;PG;8;8;34.8;6.9;13.6;.505;3.1;6.4;.490;3.8;7.3;.517;.619;3.0;3.5;.857;0.1;2.9;3.0;7.3;1.4;0.0;2.6;3.0;19.9
Stephen Curry;GSW;PG;4;4;25.8;6.0;14.0;.429;3.8;9.0;.417;2.3;5.0;.450;.563;4.0;4.0;1.000;0.3;4.5;4.8;6.5;1.5;0.3;3.3;1.3;19.8
Jaden Ivey;DET;SG;8;8;32.1;7.0;15.0;.467;2.0;5.1;.390;5.0;9.9;.506;.533;3.6;4.8;.763;1.4;3.1;4.5;3.6;1.0;0.3;3.0;2.6;19.6
Jaren Jackson Jr.;MEM;C;6;6;27.5;7.3;12.8;.571;1.5;3.5;.429;5.8;9.3;.625;.630;3.3;5.0;.667;1.2;3.8;5.0;0.8;1.5;1.2;1.8;3.5;19.5
Anfernee Simons;POR;SG;8;8;34.1;6.5;16.9;.385;2.6;8.3;.318;3.9;8.6;.449;.463;3.9;4.3;.912;0.3;2.4;2.6;5.1;0.9;0.1;2.6;1.3;19.5
Scottie Barnes;TOR;SF;4;4;33.5;7.3;15.8;.460;0.5;2.8;.182;6.8;13.0;.519;.476;4.3;5.8;.739;2.5;5.3;7.8;6.0;2.0;0.5;4.0;3.0;19.3
Derrick White;BOS;SG;8;8;33.0;6.5;13.6;.477;3.6;8.8;.414;2.9;4.9;.590;.610;2.4;2.6;.905;0.9;3.5;4.4;4.1;1.0;1.1;1.3;2.4;19.0
Victor Wembanyama;SAS;PF;7;7;31.4;6.7;15.9;.423;1.6;7.1;.220;5.1;8.7;.590;.473;3.9;4.1;.931;2.0;8.3;10.3;3.1;1.3;3.9;3.3;2.4;18.9
